order_id,order_date,origin,destination,vehicle_type,distance_km,delivery_time_min,expected_time_min,fuel_consumed_l,transport_cost_inr,distance_km_normalized,delivery_time_min_normalized,transport_cost_inr_normalized
1001,2026-07-01,Chennai,Chengalpattu,Van,52.0,78.0,95,1.0,620.0,0.5517241379310345,0.7751937984496124,0.6446601941747573
1002,2026-07-01,Chennai,Kanchipuram,Truck,72.0,92.5,120,1.2,848.75,0.8275862068965517,1.0,1.0
1003,2026-07-02,Chennai,Sriperumbudur,Van,41.0,64.0,75,1.1,510.0,0.4,0.5581395348837209,0.47378640776699027
1004,2026-07-02,Chennai,Tiruvallur,Bike,27.0,58.0,60,0.8,360.0,0.20689655172413793,0.46511627906976744,0.2407766990291262
1005,2026-07-03,Chennai,Poonamallee,Van,29.0,49.0,55,0.9,420.0,0.23448275862068965,0.32558139534883723,0.3339805825242718
1006,2026-07-03,Chengalpattu,Mahabalipuram,Van,34.0,55.0,70,1.0,450.0,0.30344827586206896,0.4186046511627907,0.38058252427184464
1007,2026-07-04,Chennai,Tambaram,Bike,24.0,42.0,45,0.7,300.0,0.16551724137931034,0.21705426356589147,0.14757281553398058
1008,2026-07-04,Chennai,Red Hills,Van,84.5,51.0,65,1.0,400.0,1.0,0.35658914728682173,0.3029126213592233
1009,2026-07-05,Chennai,Avadi,Van,36.0,59.0,70,1.0,470.0,0.3310344827586207,0.4806201550387597,0.4116504854368932
1010,2026-07-05,Chennai,Ambattur,Bike,22.0,38.0,45,0.7,290.0,0.13793103448275862,0.15503875968992248,0.13203883495145632
1011,2026-07-06,Chennai,Guduvanchery,Van,47.0,46.0,85,1.1,560.0,0.4827586206896552,0.27906976744186046,0.5514563106796116
1012,2026-07-06,Chennai,Maraimalai Nagar,Truck,61.0,92.5,105,1.3,848.75,0.6758620689655173,1.0,1.0
1013,2026-07-07,Chennai,Vandalur,Bike,27.0,46.0,50,0.8,330.0,0.20689655172413793,0.27906976744186046,0.1941747572815534
1014,2026-07-07,Chennai,Perungalathur,Van,31.0,52.0,60,0.9,390.0,0.2620689655172414,0.37209302325581395,0.287378640776699
1015,2026-07-08,Chennai,Kelambakkam,Van,55.0,92.5,100,1.1,710.0,0.593103448275862,1.0,0.7844660194174757
1016,2026-07-08,Chennai,Sholinganallur,Bike,19.0,35.0,40,0.6,260.0,0.09655172413793103,0.10852713178294573,0.0854368932038835
1017,2026-07-09,Chennai,Guindy,Bike,14.0,31.0,35,0.5,220.0,0.027586206896551724,0.046511627906976744,0.02330097087378641
1018,2026-07-09,Chennai,Velachery,Bike,17.0,34.0,40,0.8,240.0,0.06896551724137931,0.09302325581395349,0.05436893203883495
1019,2026-07-10,Chennai,Porur,Van,26.0,45.0,55,0.8,350.0,0.19310344827586207,0.26356589147286824,0.22524271844660193
1020,2026-07-10,Chennai,Mogappair,Van,23.0,41.0,50,0.8,340.0,0.15172413793103448,0.20155038759689922,0.20970873786407768
1021,2026-07-11,Chennai,Adyar,Bike,16.0,33.0,40,0.5,230.0,0.05517241379310345,0.07751937984496124,0.038834951456310676
1022,2026-07-11,Chennai,Thoraipakkam,Bike,21.0,37.0,45,0.6,250.0,0.12413793103448276,0.13953488372093023,0.06990291262135923
1023,2026-07-12,Chennai,ECR,Van,48.0,76.0,90,1.1,600.0,0.496551724137931,0.7441860465116279,0.6135922330097088
1024,2026-07-12,Chennai,Avadi,Truck,68.0,92.5,125,1.4,848.75,0.7724137931034483,1.0,1.0
1025,2026-07-13,Chennai,Koyambedu,Van,18.0,36.0,45,0.7,360.0,0.08275862068965517,0.12403100775193798,0.2407766990291262
1026,2026-07-13,Chennai,Perambur,Bike,15.0,32.0,40,0.5,220.0,0.041379310344827586,0.06201550387596899,0.02330097087378641
1027,2026-07-14,Chennai,Mylapore,Bike,13.0,29.0,35,0.5,210.0,0.013793103448275862,0.015503875968992248,0.007766990291262136
1028,2026-07-14,Chennai,T Nagar,Bike,12.0,28.0,35,0.5,205.0,0.0,0.0,0.0
1029,2026-07-15,Chennai,Chromepet,Van,28.0,48.0,55,0.8,370.0,0.2206896551724138,0.31007751937984496,0.2563106796116505
1030,2026-07-15,Chennai,Pallavaram,Van,25.0,44.0,50,0.8,350.0,0.1793103448275862,0.24806201550387597,0.22524271844660193
