order_id,order_date,origin,destination,vehicle_type,distance_km,delivery_time_min,expected_time_min,fuel_consumed_l,transport_cost_inr
1001,2026-07-01,Chennai,Chengalpattu,Van,52.0,78.0,95,1.0,620.0
1002,2026-07-01,Chennai,Kanchipuram,Truck,72.0,112.0,120,1.2,980.0
1003,2026-07-02,Chennai,Sriperumbudur,Van,41.0,64.0,75,1.1,510.0
1004,2026-07-02,Chennai,Tiruvallur,Bike,,58.0,60,0.8,360.0
1005,2026-07-03,Chennai,Poonamallee,Van,29.0,49.0,55,0.9,420.0
1006,2026-07-03,Chengalpattu,Mahabalipuram,Van,34.0,55.0,70,1.0,450.0
1007,2026-07-04,Chennai,Tambaram,Bike,24.0,42.0,45,0.7,300.0
1008,2026-07-04,Chennai,Red Hills,Van,5000.0,51.0,65,1.0,400.0
1009,2026-07-05,Chennai,Avadi,Van,36.0,59.0,70,1.0,470.0
1010,2026-07-05,Chennai,Ambattur,Bike,22.0,38.0,45,0.7,290.0
1011,2026-07-06,Chennai,Guduvanchery,Van,47.0,,85,1.1,560.0
1012,2026-07-06,Chennai,Maraimalai Nagar,Truck,61.0,94.0,105,1.3,900.0
1013,2026-07-07,Chennai,Vandalur,Bike,27.0,46.0,50,0.8,330.0
1014,2026-07-07,Chennai,Perungalathur,Van,31.0,52.0,60,0.9,390.0
1015,2026-07-08,Chennai,Kelambakkam,Van,55.0,900.0,100,1.1,710.0
1016,2026-07-08,Chennai,Sholinganallur,Bike,19.0,35.0,40,0.6,260.0
1017,2026-07-09,Chennai,Guindy,Bike,14.0,31.0,35,0.5,220.0
1018,2026-07-09,Chennai,Velachery,Bike,17.0,34.0,40,,240.0
1019,2026-07-10,Chennai,Porur,Van,26.0,45.0,55,0.8,350.0
1020,2026-07-10,Chennai,Mogappair, van ,23.0,41.0,50,0.8,340.0
1021,2026-07-11,Chennai,Adyar,Bike,16.0,33.0,40,0.5,230.0
1022,2026-07-11,Chennai,Thoraipakkam,Bike,21.0,37.0,45,0.6,250.0
1023,2026-07-12,Chennai,ECR,Van,48.0,76.0,90,1.1,600.0
1024,2026-07-12,Chennai,Avadi,Truck,68.0,108.0,125,1.4,1050.0
1025,2026-07-13,Chennai,Koyambedu,Van,18.0,36.0,45,0.7,
1026,2026-07-13,Chennai,Perambur,Bike,15.0,32.0,40,0.5,220.0
1027,2026-07-14,Chennai,Mylapore,Bike,13.0,29.0,35,0.5,210.0
1028,2026-07-14,Chennai,T Nagar,Bike,12.0,28.0,35,0.5,205.0
1029,2026-07-15,Chennai,Chromepet,Van,28.0,48.0,55,0.8,370.0
1030,2026-07-15,Chennai,Pallavaram,Van,25.0,44.0,50,0.8,350.0
1006,2026-07-03,Chengalpattu,Mahabalipuram,Van,34.0,55.0,70,1.0,450.0
